		forward	left	right
({'light': 'green', 'oncoming': 'forward', 'right': None, 'left': 'left'}, 'forward', 0)				-0.5
({'light': 'green', 'oncoming': 'forward', 'right': None, 'left': None}, 'forward', 16)			0.277955	
({'light': 'green', 'oncoming': 'forward', 'right': None, 'left': None}, 'forward', 25)	1.395			
({'light': 'green', 'oncoming': 'forward', 'right': None, 'left': None}, 'right', 18)		2.92		
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 0)				-0.5
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 13)		2.0		
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 14)	0.0			
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 15)	0.0	1.661537		
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 21)		2.0		
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 22)	0.0			
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 25)			4.22479642	
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 27)			2.5993319755	
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'forward', 6)	0.0			
({'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}, 'right', 5)				4.3652
({'light': 'green', 'oncoming': 'right', 'right': None, 'left': None}, 'left', 40)				-0.5
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'forward', 29)		2.0		
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'forward', 30)	0.0			
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'forward', 7)			-0.5981	
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'forward', 8)	1.7764308			
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 10)	0.0			
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 17)			-0.5	
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 18)	0.0			1.55
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 19)	0.0			
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 20)	0.0			
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 24)		1.3		
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 25)	0.0			
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 29)			-0.5	
({'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}, 'right', 9)				2.0
({'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}, 'forward', 13)				11.668
({'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}, 'forward', 14)		1.1		
({'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}, 'forward', 15)		1.55		
({'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}, 'forward', 18)			0.67	
({'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}, 'left', 10)		3.38156797		
({'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}, 'left', 11)	0.0			
